tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
768,05:03.5,17:51.6,3187,Warren St,40.7211236,-74.03805095,3275,Columbus Drive,40.7183552,-74.03891444,29488,Customer,1988,2
777,05:15.4,18:12.9,3275,Columbus Drive,40.7183552,-74.03891444,3275,Columbus Drive,40.7183552,-74.03891444,29551,Customer,1967,1
826,05:39.9,19:26.0,3213,Van Vorst Park,40.71848892,-74.04772663,3267,Morris Canal,40.71241882,-74.03852552,29498,Subscriber,1987,1
679,06:05.4,17:24.9,3275,Columbus Drive,40.7183552,-74.03891444,3275,Columbus Drive,40.7183552,-74.03891444,29544,Customer,1997,2
658,06:37.4,17:36.1,3275,Columbus Drive,40.7183552,-74.03891444,3275,Columbus Drive,40.7183552,-74.03891444,26292,Customer,1969,2
493,07:57.1,16:10.3,3681,Grand St,40.71517768,-74.03768331,3202,Newport PATH,40.7272235,-74.0337589,26204,Subscriber,1991,1
1606,09:26.9,36:13.8,3202,Newport PATH,40.7272235,-74.0337589,3267,Morris Canal,40.71241882,-74.03852552,29279,Customer,1991,2
1009,09:29.7,26:19.6,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3639,Harborside,40.7192517,-74.034234,29516,Subscriber,1977,1
1521,10:31.1,35:53.0,3202,Newport PATH,40.7272235,-74.0337589,3267,Morris Canal,40.71241882,-74.03852552,26239,Customer,1991,1
542,11:37.1,20:39.7,3205,JC Medical Center,40.71653978,-74.04963791,3203,Hamilton Park,40.72759597,-74.04424731,26296,Subscriber,1964,1
17150,13:57.2,59:47.3,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3225,Baldwin at Montgomery,40.7236589,-74.0641943,26285,Customer,1975,2
497,14:15.7,22:32.9,3269,Brunswick & 6th,40.72601173,-74.05038893,3681,Grand St,40.71517768,-74.03768331,26187,Customer,1969,0
2593,14:29.1,57:42.3,3273,Manila & 1st,40.72165072,-74.04288411,3205,JC Medical Center,40.71653978,-74.04963791,29286,Customer,1989,1
1031,14:40.2,31:51.7,3213,Van Vorst Park,40.71848892,-74.04772663,3184,Paulus Hook,40.7141454,-74.0335519,26189,Subscriber,1969,0
211,14:48.4,18:19.7,3209,Brunswick St,40.7241765,-74.0506564,3211,Newark Ave,40.72152515,-74.04630454,29246,Subscriber,1984,1
983,15:22.7,31:46.1,3213,Van Vorst Park,40.71848892,-74.04772663,3184,Paulus Hook,40.7141454,-74.0335519,29679,Subscriber,1987,1
247,16:10.4,20:18.0,3206,Hilltop,40.7311689,-74.0575736,3640,Journal Square,40.73367,-74.0625,26280,Subscriber,1969,0
496,16:14.7,24:31.3,3681,Grand St,40.71517768,-74.03768331,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29617,Subscriber,1979,1
415,16:26.0,23:21.9,3639,Harborside,40.7192517,-74.034234,3275,Columbus Drive,40.7183552,-74.03891444,26160,Subscriber,1972,1
177,16:52.3,19:49.9,3213,Van Vorst Park,40.71848892,-74.04772663,3276,Marin Light Rail,40.71458404,-74.04281706,26288,Subscriber,1971,1
16951,16:54.9,59:26.0,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3225,Baldwin at Montgomery,40.7236589,-74.0641943,29453,Customer,1969,0
641,17:11.8,27:52.9,3185,City Hall,40.7177325,-74.043845,3276,Marin Light Rail,40.71458404,-74.04281706,26182,Subscriber,1983,1
289,17:32.3,22:22.3,3681,Grand St,40.71517768,-74.03768331,3187,Warren St,40.7211236,-74.03805095,26199,Subscriber,1979,1
3590,17:58.0,17:48.2,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,29205,Customer,1977,1
348,18:13.4,24:02.2,3199,Newport Pkwy,40.7287448,-74.0321082,3187,Warren St,40.7211236,-74.03805095,29628,Subscriber,1984,1
2672,18:45.2,03:17.4,3275,Columbus Drive,40.7183552,-74.03891444,3205,JC Medical Center,40.71653978,-74.04963791,29551,Customer,1967,1
359,18:48.3,24:47.6,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,29553,Subscriber,1954,1
2665,18:49.8,03:15.8,3275,Columbus Drive,40.7183552,-74.03891444,3205,JC Medical Center,40.71653978,-74.04963791,29544,Customer,1997,2
326,19:15.6,24:42.5,3639,Harborside,40.7192517,-74.034234,3211,Newark Ave,40.72152515,-74.04630454,29293,Subscriber,1987,1
2643,19:24.0,03:27.9,3275,Columbus Drive,40.7183552,-74.03891444,3205,JC Medical Center,40.71653978,-74.04963791,26155,Customer,1969,2
2611,19:46.2,03:17.9,3275,Columbus Drive,40.7183552,-74.03891444,3205,JC Medical Center,40.71653978,-74.04963791,26292,Customer,1991,2
2589,20:08.6,03:18.2,3275,Columbus Drive,40.7183552,-74.03891444,3205,JC Medical Center,40.71653978,-74.04963791,29488,Customer,1988,2
2516,20:31.0,02:27.8,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,26288,Subscriber,1980,1
718,20:38.7,32:37.0,3202,Newport PATH,40.7272235,-74.0337589,3184,Paulus Hook,40.7141454,-74.0335519,26166,Customer,1969,0
1181,20:42.6,40:24.2,3638,Washington St,40.7242941,-74.0354826,3205,JC Medical Center,40.71653978,-74.04963791,29671,Customer,1969,0
1172,20:47.0,40:19.6,3638,Washington St,40.7242941,-74.0354826,3205,JC Medical Center,40.71653978,-74.04963791,29306,Customer,1969,0
1157,20:57.0,40:14.3,3638,Washington St,40.7242941,-74.0354826,3205,JC Medical Center,40.71653978,-74.04963791,29612,Customer,1976,1
384,22:04.1,28:28.4,3186,Grove St PATH,40.71958612,-74.04311746,3483,Montgomery St,40.71942,-74.05099,26213,Subscriber,1967,1
1380,22:22.2,45:22.8,3202,Newport PATH,40.7272235,-74.0337589,3186,Grove St PATH,40.71958612,-74.04311746,29287,Subscriber,1962,1
7928,22:24.5,34:33.0,3186,Grove St PATH,40.71958612,-74.04311746,3186,Grove St PATH,40.71958612,-74.04311746,29495,Customer,1969,0
2314,23:12.4,01:46.6,3198,Heights Elevator,40.74871595,-74.0404433,3639,Harborside,40.7192517,-74.034234,29527,Customer,2002,1
1783,23:32.6,53:15.8,3198,Heights Elevator,40.74871595,-74.0404433,3639,Harborside,40.7192517,-74.034234,26194,Customer,1979,1
811,24:02.6,37:34.1,3269,Brunswick & 6th,40.72601173,-74.05038893,3273,Manila & 1st,40.72165072,-74.04288411,29552,Subscriber,1968,1
1291,24:23.9,45:55.8,3209,Brunswick St,40.7241765,-74.0506564,3681,Grand St,40.71517768,-74.03768331,29202,Customer,1989,1
1219,25:21.4,45:40.7,3209,Brunswick St,40.7241765,-74.0506564,3681,Grand St,40.71517768,-74.03768331,26216,Customer,1991,2
297,25:54.5,30:52.5,3481,York St,40.71649,-74.04105,3639,Harborside,40.7192517,-74.034234,29571,Customer,1969,0
537,26:15.6,35:13.6,3270,Jersey & 6th St,40.72528911,-74.04557168,3220,5 Corners Library,40.73496102,-74.05950308,29206,Subscriber,1989,1
1390,26:18.9,49:29.5,3211,Newark Ave,40.72152515,-74.04630454,3211,Newark Ave,40.72152515,-74.04630454,29246,Customer,1969,0
1110,27:16.8,45:47.2,3640,Journal Square,40.73367,-74.0625,3638,Washington St,40.7242941,-74.0354826,26280,Customer,1995,2
1094,27:34.5,45:48.7,3640,Journal Square,40.73367,-74.0625,3638,Washington St,40.7242941,-74.0354826,29212,Customer,1995,1
2135,28:21.2,03:56.6,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,26182,Subscriber,1983,1
198,29:02.5,32:21.1,3187,Warren St,40.7211236,-74.03805095,3202,Newport PATH,40.7272235,-74.0337589,29628,Subscriber,1985,1
170,31:16.0,34:06.3,3272,Jersey & 3rd,40.72333159,-74.04595256,3209,Brunswick St,40.7241765,-74.0506564,29593,Subscriber,1984,1
338,31:56.3,37:35.1,3213,Van Vorst Park,40.71848892,-74.04772663,3187,Warren St,40.7211236,-74.03805095,26252,Subscriber,1979,1
249,33:45.6,37:55.6,3278,Monmouth and 6th,40.72568548,-74.04879034,3211,Newark Ave,40.72152515,-74.04630454,26153,Subscriber,1955,2
1270,34:41.8,55:52.3,3199,Newport Pkwy,40.7287448,-74.0321082,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29663,Customer,1969,0
205,34:57.7,38:23.6,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,29589,Customer,1995,1
424,35:31.5,42:35.9,3220,5 Corners Library,40.73496102,-74.05950308,3210,Pershing Field,40.74267714,-74.05178863,29466,Subscriber,1974,2
1188,35:36.2,55:25.1,3199,Newport Pkwy,40.7287448,-74.0321082,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29640,Customer,1969,0
227,35:47.4,39:34.6,3187,Warren St,40.7211236,-74.03805095,3185,City Hall,40.7177325,-74.043845,26199,Subscriber,1960,1
3785,36:01.2,39:06.4,3211,Newark Ave,40.72152515,-74.04630454,3211,Newark Ave,40.72152515,-74.04630454,29534,Subscriber,1966,1
3747,36:45.4,39:12.5,3211,Newark Ave,40.72152515,-74.04630454,3211,Newark Ave,40.72152515,-74.04630454,26316,Customer,2002,1
558,38:12.4,47:30.5,3184,Paulus Hook,40.7141454,-74.0335519,3638,Washington St,40.7242941,-74.0354826,29509,Subscriber,1989,1
292,39:00.4,43:53.3,3186,Grove St PATH,40.71958612,-74.04311746,3214,Essex Light Rail,40.7127742,-74.0364857,29455,Customer,1995,1
398,39:40.8,46:19.8,3199,Newport Pkwy,40.7287448,-74.0321082,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29522,Subscriber,1988,1
149,39:53.9,42:23.7,3481,York St,40.71649,-74.04105,3275,Columbus Drive,40.7183552,-74.03891444,29497,Subscriber,1989,1
181,40:50.4,43:51.6,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,29537,Subscriber,1988,1
111,41:13.2,43:04.2,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,29617,Subscriber,1971,2
